time,open,high,low,close,volume
2022-05-11 13:30:00,262.718919513,262.788749117,262.499455045,262.665050962,43130
2022-05-11 13:29:00,263.088018846,263.097994503,262.639114252,262.748846486,50982
2022-05-11 13:28:00,262.908457008,263.23765371,262.868554378,263.127921476,51011
2022-05-11 13:27:00,263.207726737,263.217702395,262.898481351,262.898481351,49648
2022-05-11 13:26:00,263.23765371,263.40723989,263.147872792,263.227678053,56090
2022-05-11 13:25:00,262.718919513,263.40723989,262.718919513,263.217702395,73935
2022-05-11 13:24:00,262.514418532,262.838627405,262.389722811,262.674029054,47239
2022-05-11 13:23:00,262.449576757,262.559308991,262.210160974,262.509430703,55130
2022-05-11 13:22:00,262.359696082,262.459951441,262.040574794,262.459552415,77891
2022-05-11 13:21:00,262.679016883,262.768797801,262.240087947,262.369771496,43507
2022-05-11 13:20:00,262.838627405,262.85857872,262.599211622,262.679016883,25556
2022-05-11 13:19:00,262.838627405,263.048116215,262.738870828,262.868554378,29987
2022-05-11 13:18:00,262.801517958,263.008213585,262.759819709,262.848603062,37411
2022-05-11 13:17:00,263.23765371,263.297507656,262.808700432,262.808700432,44581
2022-05-11 13:16:00,262.599211622,263.217702395,262.599211622,263.19775108,79991
2022-05-11 13:15:00,262.758822144,262.758822144,262.529382018,262.639114252,36854
2022-05-11 13:14:00,262.823663918,262.958335296,262.559308991,262.778773459,43404
2022-05-11 13:13:00,262.654077739,262.868554378,262.499455045,262.828651747,43385
2022-05-11 13:12:00,262.718919513,262.81867609,262.539357676,262.639114252,67517
2022-05-11 13:11:00,262.329868865,262.828651747,262.240087947,262.698968198,76321
2022-05-11 13:10:00,262.30991755,262.359795838,262.180234001,262.280090334,42876
2022-05-11 13:09:00,262.194598948,262.459552415,262.110404397,262.299842136,89090
2022-05-11 13:08:00,261.631572831,262.279990577,261.631572831,262.200185316,87835
2022-05-11 13:07:00,262.170258343,262.170258343,261.641548488,261.681451119,89907
2022-05-11 13:06:00,262.240087947,262.260039262,261.861012956,262.170258343,108388
2022-05-11 13:05:00,262.185820369,262.30991755,262.090453082,262.252258249,80831
2022-05-11 13:04:00,262.369771496,262.629138594,262.200185316,262.220036875,86389
2022-05-11 13:03:00,262.210160974,262.468530506,262.020623479,262.409674126,106582
2022-05-11 13:02:00,262.379747154,262.39471064,262.160282686,262.230112289,102289
2022-05-11 13:01:00,262.629138594,262.669041225,262.299941892,262.364783667,191569
2022-05-11 13:00:00,263.052705018,263.177799764,262.639114252,262.639114252,163132
2022-05-11 12:59:00,262.803712603,263.06806753,262.669041225,263.048116215,90593
2022-05-11 12:58:00,263.157848449,263.157848449,262.808700432,262.81867609,154571
2022-05-11 12:57:00,263.637677581,263.658227436,263.127921476,263.157848449,111641
2022-05-11 12:56:00,263.656631331,263.74641225,263.506996466,263.646655673,70943
2022-05-11 12:55:00,263.866120141,263.866120141,263.636680016,263.666606989,28174
2022-05-11 12:54:00,263.866120141,263.91599843,263.546899097,263.866120141,67074
2022-05-11 12:53:00,263.926073844,264.000791519,263.806266196,263.861132313,34040
2022-05-11 12:52:00,263.886071457,264.005779348,263.776339223,263.935949745,67314
2022-05-11 12:51:00,264.085584609,264.105535925,263.790504656,263.893952226,63466
2022-05-11 12:50:00,264.085584609,264.374878681,263.91599843,264.075608952,131977
2022-05-11 12:49:00,263.906022772,264.225243816,263.826217511,264.065633294,97668
2022-05-11 12:48:00,264.045681979,264.055657636,263.866120141,263.896047114,43304
2022-05-11 12:47:00,263.935949745,264.115511582,263.78631488,264.045681979,67135
2022-05-11 12:46:00,263.945925402,264.135462898,263.78631488,263.945925402,77883
2022-05-11 12:45:00,263.692543698,264.065633294,263.666606989,263.965477691,73508
2022-05-11 12:44:00,263.965876718,264.005779348,263.646655673,263.696533962,83222
2022-05-11 12:43:00,264.225243816,264.265146447,263.985828033,263.985828033,45434
2022-05-11 12:42:00,264.414781311,264.554440518,264.255968842,264.255968842,47509
2022-05-11 12:41:00,264.025730664,264.604318806,263.970864547,264.444708284,60693
2022-05-11 12:40:00,264.005779348,264.265146447,263.95590106,264.085584609,65993
2022-05-11 12:39:00,264.225243816,264.225243816,263.925974087,264.015755006,59066
2022-05-11 12:38:00,264.325000393,264.364903023,263.975852375,264.205292501,56039
2022-05-11 12:37:00,264.315024735,264.564416176,264.245195132,264.325000393,67707
2022-05-11 12:36:00,263.796290538,264.684124068,263.706509619,264.235219474,120707
2022-05-11 12:35:00,263.636680016,263.95590106,263.57682607,263.836193168,42588
2022-05-11 12:34:00,263.816241853,263.886071457,263.626704358,263.636680016,58385
2022-05-11 12:33:00,263.87110797,263.965876718,263.766363565,263.826217511,57143
2022-05-11 12:32:00,263.606753043,264.12548724,263.596777385,263.896047114,83845
2022-05-11 12:31:00,263.686558304,263.726460934,263.497020809,263.636680016,59312
2022-05-11 12:30:00,264.344951708,264.374878681,263.487045151,263.716485277,165279
2022-05-11 12:29:00,264.734002356,264.734002356,264.175365528,264.344951708,98771
2022-05-11 12:28:00,265.352493129,265.352493129,264.694099725,264.734301625,54222
2022-05-11 12:27:00,265.302614841,265.542030624,265.272687868,265.302614841,35258
2022-05-11 12:26:00,265.512103651,265.60188457,265.162955634,265.312590499,45327
2022-05-11 12:25:00,265.292639183,265.651762858,265.252038257,265.552006282,55805
2022-05-11 12:24:00,264.933515508,265.482176678,264.863685905,265.30760267,94002
2022-05-11 12:23:00,264.84373459,264.983393797,264.763929329,264.943491166,29735
2022-05-11 12:22:00,264.823783274,265.143004319,264.793856302,264.868673734,48018
2022-05-11 12:21:00,264.145438555,264.847824609,264.065633294,264.80642563,53793
2022-05-11 12:20:00,264.33497605,264.33497605,264.055657636,264.16538987,79328
2022-05-11 12:19:00,264.634245779,264.783880644,264.29507342,264.344951708,34315
2022-05-11 12:18:00,264.654197095,264.783880644,264.574391834,264.614294464,18768
2022-05-11 12:17:00,264.624270122,264.876255234,264.564416176,264.624270122,31692
2022-05-11 12:16:00,264.604318806,264.734002356,264.417275226,264.654197095,31550
2022-05-11 12:15:00,264.709063212,264.863685905,264.554440518,264.614294464,33706
2022-05-11 12:14:00,264.354927366,264.734002356,264.339963879,264.709063212,31228
2022-05-11 12:13:00,264.255170789,264.434732627,264.245195132,264.315024735,36625
2022-05-11 12:12:00,264.105535925,264.265146447,263.995803691,264.265146447,35428
2022-05-11 12:11:00,264.354927366,264.354927366,263.95590106,264.175365528,59505
2022-05-11 12:10:00,264.50456223,264.50456223,264.225243816,264.354927366,42771
2022-05-11 12:09:00,264.514537888,264.803831959,264.484610915,264.574391834,31295
2022-05-11 12:08:00,264.679136239,264.903588536,264.474635257,264.474635257,41004
2022-05-11 12:07:00,264.853710247,264.854109274,264.354927366,264.684124068,47891
2022-05-11 12:06:00,264.554440518,264.903588536,264.50456223,264.873661563,36952
2022-05-11 12:05:00,264.67414841,264.763929329,264.534489203,264.604318806,56738
2022-05-11 12:04:00,264.734002356,264.743978013,264.484610915,264.664172752,37038
2022-05-11 12:03:00,264.235219474,264.763929329,264.005779348,264.743978013,75696
2022-05-11 12:02:00,264.205292501,264.586761649,264.16538987,264.260158618,25452
2022-05-11 12:01:00,264.773904986,264.773904986,264.205292501,264.220255987,47709
2022-05-11 12:00:00,264.692703133,264.953466824,264.661678838,264.803831959,46517
2022-05-11 11:59:00,264.734002356,264.833758932,264.454683942,264.692703133,39492
2022-05-11 11:58:00,264.694099725,264.851715116,264.534489203,264.734002356,49936
